,Name,Price,Image,Ratings,Links
0,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","₹8,699",https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/mobile/j/o/x/-original-imagehxy5hzshkdv.jpeg?q=70,4.3,https://www.flipkart.com/infinix-hot-12-play-horizon-blue-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYCFZA7BRB&lid=LSTMOBGE2KYCFZA7BRBUNTJVL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGE2KYCFZA7BRB.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
1,"Infinix HOT 12 Play (Daylight Green, 64 GB)","₹8,699",https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/mobile/c/q/t/-original-imageg2rjgezh6yf.jpeg?q=70,4.3,https://www.flipkart.com/infinix-hot-12-play-daylight-green-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KY6JUTSNCP&lid=LSTMOBGE2KY6JUTSNCPGWOMYY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGE2KY6JUTSNCP.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
2,"realme Narzo 50 (Speed Blue, 64 GB)","₹11,999",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70,4.5,https://www.flipkart.com/realme-narzo-50-speed-blue-64-gb/p/itm9d47ef5d10145?pid=MOBGC2E72ZFW9HBY&lid=LSTMOBGC2E72ZFW9HBYP8MQ5X&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC2E72ZFW9HBY.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
3,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,201",https://rukminim1.flixcart.com/image/312/312/ku5ufm80/mobile/s/i/q/sport-9a-redmi-original-imag7chxqqu7h5hs.jpeg?q=70,4.2,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBG7CHHZ2MUWAZ4&lid=LSTMOBG7CHHZ2MUWAZ4EUB6K2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=en_VcJa8Dh%2B0J%2Bc8OHsHMq81pB0V%2FSUyW8huz0i8ve4DlkQStVskUQGSKFNyzi7%2FwnL7cOJz3bUm%2B9NU7Z2nO%2FZOg%3D%3D&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
4,"REDMI 10 (Pacific Blue, 64 GB)","₹9,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/w/r/t/-original-imagcgtgwg5taegn.jpeg?q=70,4.4,https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW1PUFXX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
5,"ASUS ROG Phone 3 (Black, 128 GB)","₹49,999",https://rukminim1.flixcart.com/image/312/312/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc6nmyuyekd.jpeg?q=70,4.4,https://www.flipkart.com/asus-rog-phone-3-black-128-gb/p/itmf8623d755871d?pid=MOBFUXPBV3TFMPAH&lid=LSTMOBFUXPBV3TFMPAHAGA7SX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBFUXPBV3TFMPAH.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
6,"realme Narzo 50 (Speed Blue, 128 GB)","₹14,499",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70,4.3,https://www.flipkart.com/realme-narzo-50-speed-blue-128-gb/p/itm9d47ef5d10145?pid=MOBGC2E7KHZD6MDD&lid=LSTMOBGC2E7KHZD6MDDUKG4CJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC2E7KHZD6MDD.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
7,IAIR D41,"₹1,075",https://rukminim1.flixcart.com/image/312/312/l0zm64w0/mobile/c/5/w/d41-d41aqua-green-iair-original-imagcnz3m4ugxdfz.jpeg?q=70,4.9,https://www.flipkart.com/iair-d41/p/itm0b7495cebc66e?pid=MOBGCNZ4MZR9AADP&lid=LSTMOBGCNZ4MZR9AADPR55JN1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=en_VcJa8Dh%2B0J%2Bc8OHsHMq81pB0V%2FSUyW8huz0i8ve4DllgxscrjNIjWFVupYWrwAwcudg9FaDonO8H3siAxoUqPw%3D%3D&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
8,"Infinix HOT 12 Play (Racing Black, 64 GB)","₹8,699",https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/mobile/y/f/b/-original-imageg2qrjbhfqyb.jpeg?q=70,4.3,https://www.flipkart.com/infinix-hot-12-play-racing-black-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYNTFHTXUW&lid=LSTMOBGE2KYNTFHTXUWDFJ0XM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGE2KYNTFHTXUW.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
9,"POCO C31 (Royal Blue, 64 GB)","₹7,999",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70,4.4,https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
10,"APPLE iPhone 13 Pro (Silver, 1 TB)","₹1,69,900",https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/e/g/iphone-13-pro-mlvw3hn-a-apple-original-imag6vpcvspnzyfy.jpeg?q=70,4.7,https://www.flipkart.com/apple-iphone-13-pro-silver-1-tb/p/itm14c527352e711?pid=MOBG6VF5ADR3Y9VY&lid=LSTMOBG6VF5ADR3Y9VYKZ1TQT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBG6VF5ADR3Y9VY.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
11,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",₹854,https://rukminim1.flixcart.com/image/312/312/kulk9zk0/mobile/l/z/2/d20-iairfpd20-iair-original-imag7zrgw36vhzsp.jpeg?q=70,3.8,https://www.flipkart.com/iair-basic-feature-dual-sim-mobile-phone-1200mah-battery-1-77-inch-display-screen-0-8-mp-camera-sleek-body-torch-fpd20-dark-green/p/itm412602646733c?pid=MOBG2CGZWHCGX6A5&lid=LSTMOBG2CGZWHCGX6A5YUKIGE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=en_VcJa8Dh%2B0J%2Bc8OHsHMq81pB0V%2FSUyW8huz0i8ve4Dln7Ooi%2BFRz1iVCMQpFUujnBARtRAkGjYRF3HxLqoO4GAw%3D%3D&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
12,"REDMI 10 (Midnight Black, 64 GB)","₹9,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/x/f/u/-original-imagcgtghym8theg.jpeg?q=70,4.4,https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4EOWOH9V&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
13,"realme Narzo 50 (Speed Black, 128 GB)","₹14,499",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/k/4/l/-original-imagc4qjnkzhty3h.jpeg?q=70,4.3,https://www.flipkart.com/realme-narzo-50-speed-black-128-gb/p/itm9d47ef5d10145?pid=MOBGC2E7VUH9YBWT&lid=LSTMOBGC2E7VUH9YBWTHCAUBJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC2E7VUH9YBWT.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
14,"realme Narzo 50 (Speed Black, 64 GB)","₹11,999",https://rukminim1.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/k/4/l/-original-imagc4qjnkzhty3h.jpeg?q=70,4.5,https://www.flipkart.com/realme-narzo-50-speed-black-64-gb/p/itm9d47ef5d10145?pid=MOBGC2E7QBD3ARH2&lid=LSTMOBGC2E7QBD3ARH28JKTRN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC2E7QBD3ARH2.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
15,IAIR D10,"₹1,199",https://rukminim1.flixcart.com/image/312/312/ku2zjww0/mobile/a/o/p/2g-dual-sim-1-7-inch-display-32-mb-storage-0-8-mp-camera-vga-original-imag7a7kjwgrhzjw.jpeg?q=70,3.9,https://www.flipkart.com/iair-d10/p/itm68a13990b3f15?pid=MOBG7CMFTZKGWKGH&lid=LSTMOBG7CMFTZKGWKGHI2SZPK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=en_VcJa8Dh%2B0J%2Bc8OHsHMq81pB0V%2FSUyW8huz0i8ve4DlkD0K00D6V4FUJZo72dymhhnBu25tu9z5MBfilXTmQxPA%3D%3D&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
16,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,799",https://rukminim1.flixcart.com/image/312/312/ku04o7k0/mobile/x/x/t/9i-sport-mzb0a10in-redmi-original-imag785rwf3q8sft.jpeg?q=70,4.4,https://www.flipkart.com/redmi-9i-sport-metallic-blue-64-gb/p/itmeb95d0b4616cc?pid=MOBG6WQWQZZMGQCU&lid=LSTMOBG6WQWQZZMGQCUPYXGVY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBG6WQWQZZMGQCU.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
17,"REDMI 10 (Caribbean Green, 64 GB)","₹9,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/d/d/s/-original-imagcgtgyqebxqhx.jpeg?q=70,4.4,https://www.flipkart.com/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3NDJY6R&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBGC9GYQGGKWEU3.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
18,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,799",https://rukminim1.flixcart.com/image/312/312/ku04o7k0/mobile/m/w/p/9i-sport-mzb0a0yin-redmi-original-imag785ryfspqg3a.jpeg?q=70,4.4,https://www.flipkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGO4EIDO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBG6WQWJRFZ5WDG.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
19,IAIR D40,"₹1,199",https://rukminim1.flixcart.com/image/312/312/l0zm64w0/mobile/g/u/r/d40-d40blue-iair-original-imagcnzfcqqbaknt.jpeg?q=70,5,https://www.flipkart.com/iair-d40/p/itm253472ba19c6b?pid=MOBGCNZF3VZHZJZR&lid=LSTMOBGCNZF3VZHZJZROV1MTC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=en_VcJa8Dh%2B0J%2Bc8OHsHMq81pB0V%2FSUyW8huz0i8ve4DlkkhvlAjlFzsgRbc%2FIgl6gMxAZnM4WUT6omXT4VbN%2FcqQ%3D%3D&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
20,"POCO C31 (Shadow Gray, 64 GB)","₹7,999",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/b/o/m/c31-mzb0a0min-poco-original-imag7bzqxekkpkrv.jpeg?q=70,4.4,https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
21,"REDMI 9i Sport (Carbon Black, 64 GB)","₹8,799",https://rukminim1.flixcart.com/image/312/312/ku04o7k0/mobile/p/8/u/9i-sport-mzb0a5iin-redmi-original-imag785qegs5ghyy.jpeg?q=70,4.4,https://www.flipkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm17ed463dc779a?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6DJKEOT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBG6WQWRGRRDBH6.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
22,"APPLE iPhone 12 (Green, 128 GB)","₹65,499",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dubf3nytw.jpeg?q=70,4.6,https://www.flipkart.com/apple-iphone-12-green-128-gb/p/itm4e0a120f7d9c4?pid=MOBFWBYZQXUEHF48&lid=LSTMOBFWBYZQXUEHF484WD4A9&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=bc92e0c0-376f-4a4d-8a30-59188df6f882.MOBFWBYZQXUEHF48.SEARCH&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
23,IAIR D24,₹999,https://rukminim1.flixcart.com/image/312/312/kx7vc7k0/mobile/f/x/a/d24-d24-iair-original-imag9pvzgghw2zwb.jpeg?q=70,3.9,https://www.flipkart.com/iair-d24/p/itmebf306660cf33?pid=MOBG9PVPWCMXCPVF&lid=LSTMOBG9PVPWCMXCPVFMGVRSN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na&fm=organic&iid=en_VcJa8Dh%2B0J%2Bc8OHsHMq81pB0V%2FSUyW8huz0i8ve4DllDayjLJGArvlTgm%2FeMC9%2BKPfi2PtnMiHz08rsayz%2F7Fw%3D%3D&ppt=None&ppn=None&ssid=pikwm1g4yo0000001658394146837&qH=eb4af0bf07c16429
